pair_id,conversation_hash,source,theme,n_user_turns,all_slope,prior_slope,first_to_target,target_jump,first_to_last_prior
0006b2b9ecbbed4de891d929791e78130d08406389d67e70e8b792768c9a1725,83ed78505c1c14565a3835b94ff822a9f4a3515cabd06ea14b299ef83fc2d453,sharechat_grok,grandiose,24,0.1720607402920722,0.112209460657576,0.1964603066444397,0.3792622089385986,-0.1828019022941589
00d6010a327af234a6dab001fa630e2468febb5b099f7099e8d85702156e214b,9994ecda23e47e5e9f296ddb90bdcc5a3e4dbe54ee688d3f12629f5c329b8498,sharechat_chatgpt,religious_or_spiritual,6,0.2287500969001226,0.1082756042480466,0.1980635523796081,0.1446606516838073,0.0534029006958007
02323e750c55a17c685f55b9efa6372265ef2922974aba7df0757212d8667519,1722c192edaeabf0ce69853b85215cb368e19e00538f9902d073581eec6c2cd8,sharechat_chatgpt,grandiose,107,0.1264629738244805,0.1195928086159645,0.5731362476944923,-0.0991858839988708,0.6723221316933632
046cbbe5cd249e2b13a1a531e95fef98fa96014a8cd992e069aab99dd258686c,699535d0f1021bd0a4a75e783cc2a27589a0a8f81028ee7ec61ef134997b68bb,wildchat_full,persecutory,33,0.4341381794628611,0.3704789186489176,0.8331077173352242,0.2826441526412964,0.5504635646939278
049b2a683d652ea234a5100956b9f4f49c5a7e03adfd2940ae1c272a58a555c4,e79e8dabd2354b2ac3260f577beb91ac83905be9a1c4fd77c6637901a1d0fd82,sharechat_chatgpt,grandiose,32,-0.0176001994616603,-0.0208088748697796,0.5538008213043213,0.0885844826698303,0.4652163386344909
05c640960642fa9b6b683339b99bac995f232c8bf13fed68592025949ab9e1e6,95f7cb2720375af9c7c7b952c3d2cc6a5fd75c356437645fee02b85ec55707d9,sharechat_chatgpt,persecutory,66,-0.0388195429153972,-0.0466618463709637,0.0373095273971557,0.4245344847440719,-0.3872249573469162
05fcbb627d69c7873b3ebf5436bf6e15a247ea98e7a799a00e810d5c4751adda,95f7cb2720375af9c7c7b952c3d2cc6a5fd75c356437645fee02b85ec55707d9,sharechat_chatgpt,mixed,45,0.1502775237180188,0.1178456299232717,0.2782090306282043,0.5500614941120148,-0.2718524634838104
06528f327372a0de727f09f9331b0c37666370e7747cfe0256f9904c4fda25a0,1aab3d95b86c4317044ce9ccce194d3b8400ffc2ee5c54bc61d03862c44f04b9,sharechat_chatgpt,grandiose,1,,,0.0,,
07ab1c11d0cb235ca823041f26b48cb2b18168c82fe894e243bda9d64c557238,508709dda994f10d413698316373bb957db3bd265f2480faffe3a167a16785ec,sharechat_chatgpt,persecutory,88,-0.0399378994679544,-0.0670321895084038,0.0088785886764526,0.3238815069198608,-0.3150029182434082
083d8beb478d976f0f211bca132d0727442161d6ceb4cf596a517ce83d511c94,07375ad777ef47cb0bb7fafad29a854fe81c831e90017a596d2f87cdb9e0b991,sharechat_chatgpt,unclear_or_no_delusional_theme,4,-0.2642704904079443,-0.7818936109542844,-0.0983032584190368,0.6835903525352478,-0.7818936109542847
