pair_id,conversation_hash,source,theme,message_index,user_turn_index,n_user_turns,is_target,fold,score,text_chars
d391ef955bbdc49dbba74ef9ebbbf765ce313feac87975bb872b6afa5a0f4a0e,1aab3d95b86c4317044ce9ccce194d3b8400ffc2ee5c54bc61d03862c44f04b9,sharechat_chatgpt,persecutory,0,0,13,False,1,0.9647166728973388,417
d391ef955bbdc49dbba74ef9ebbbf765ce313feac87975bb872b6afa5a0f4a0e,1aab3d95b86c4317044ce9ccce194d3b8400ffc2ee5c54bc61d03862c44f04b9,sharechat_chatgpt,persecutory,1,1,13,False,1,0.794204831123352,348
d391ef955bbdc49dbba74ef9ebbbf765ce313feac87975bb872b6afa5a0f4a0e,1aab3d95b86c4317044ce9ccce194d3b8400ffc2ee5c54bc61d03862c44f04b9,sharechat_chatgpt,persecutory,2,2,13,False,1,0.4322728812694549,13
d391ef955bbdc49dbba74ef9ebbbf765ce313feac87975bb872b6afa5a0f4a0e,1aab3d95b86c4317044ce9ccce194d3b8400ffc2ee5c54bc61d03862c44f04b9,sharechat_chatgpt,persecutory,3,3,13,False,1,0.6924766302108765,288
d391ef955bbdc49dbba74ef9ebbbf765ce313feac87975bb872b6afa5a0f4a0e,1aab3d95b86c4317044ce9ccce194d3b8400ffc2ee5c54bc61d03862c44f04b9,sharechat_chatgpt,persecutory,4,4,13,False,1,0.9528354406356812,604
d391ef955bbdc49dbba74ef9ebbbf765ce313feac87975bb872b6afa5a0f4a0e,1aab3d95b86c4317044ce9ccce194d3b8400ffc2ee5c54bc61d03862c44f04b9,sharechat_chatgpt,persecutory,5,5,13,False,1,0.970106601715088,516
d391ef955bbdc49dbba74ef9ebbbf765ce313feac87975bb872b6afa5a0f4a0e,1aab3d95b86c4317044ce9ccce194d3b8400ffc2ee5c54bc61d03862c44f04b9,sharechat_chatgpt,persecutory,6,6,13,False,1,0.7718150019645691,624
d391ef955bbdc49dbba74ef9ebbbf765ce313feac87975bb872b6afa5a0f4a0e,1aab3d95b86c4317044ce9ccce194d3b8400ffc2ee5c54bc61d03862c44f04b9,sharechat_chatgpt,persecutory,7,7,13,False,1,0.9010031819343568,121
d391ef955bbdc49dbba74ef9ebbbf765ce313feac87975bb872b6afa5a0f4a0e,1aab3d95b86c4317044ce9ccce194d3b8400ffc2ee5c54bc61d03862c44f04b9,sharechat_chatgpt,persecutory,8,8,13,False,1,0.7808927893638611,793
d391ef955bbdc49dbba74ef9ebbbf765ce313feac87975bb872b6afa5a0f4a0e,1aab3d95b86c4317044ce9ccce194d3b8400ffc2ee5c54bc61d03862c44f04b9,sharechat_chatgpt,persecutory,9,9,13,False,1,0.869943380355835,455
d391ef955bbdc49dbba74ef9ebbbf765ce313feac87975bb872b6afa5a0f4a0e,1aab3d95b86c4317044ce9ccce194d3b8400ffc2ee5c54bc61d03862c44f04b9,sharechat_chatgpt,persecutory,10,10,13,False,1,0.9590591192245485,737
d391ef955bbdc49dbba74ef9ebbbf765ce313feac87975bb872b6afa5a0f4a0e,1aab3d95b86c4317044ce9ccce194d3b8400ffc2ee5c54bc61d03862c44f04b9,sharechat_chatgpt,persecutory,11,11,13,False,1,0.4947659373283386,66
d391ef955bbdc49dbba74ef9ebbbf765ce313feac87975bb872b6afa5a0f4a0e,1aab3d95b86c4317044ce9ccce194d3b8400ffc2ee5c54bc61d03862c44f04b9,sharechat_chatgpt,persecutory,12,12,13,True,1,0.9488967657089232,1722
a114334a82387134c09a654519a6a27f712f0dc7e1b14d743278b72eac0df073,dac630273f76c21e9ff9cea1246dba756732e0a818b0d8fbcc92caf59382ad1e,wildchat_full,unclear_or_no_delusional_theme,0,0,23,False,0,0.0293827671557664,196
a114334a82387134c09a654519a6a27f712f0dc7e1b14d743278b72eac0df073,dac630273f76c21e9ff9cea1246dba756732e0a818b0d8fbcc92caf59382ad1e,wildchat_full,unclear_or_no_delusional_theme,2,1,23,False,0,0.1720692068338394,66
a114334a82387134c09a654519a6a27f712f0dc7e1b14d743278b72eac0df073,dac630273f76c21e9ff9cea1246dba756732e0a818b0d8fbcc92caf59382ad1e,wildchat_full,unclear_or_no_delusional_theme,4,2,23,False,0,0.046764712780714,97
a114334a82387134c09a654519a6a27f712f0dc7e1b14d743278b72eac0df073,dac630273f76c21e9ff9cea1246dba756732e0a818b0d8fbcc92caf59382ad1e,wildchat_full,unclear_or_no_delusional_theme,6,3,23,False,0,0.1437567472457885,122
a114334a82387134c09a654519a6a27f712f0dc7e1b14d743278b72eac0df073,dac630273f76c21e9ff9cea1246dba756732e0a818b0d8fbcc92caf59382ad1e,wildchat_full,unclear_or_no_delusional_theme,8,4,23,False,0,0.1438127011060714,156
a114334a82387134c09a654519a6a27f712f0dc7e1b14d743278b72eac0df073,dac630273f76c21e9ff9cea1246dba756732e0a818b0d8fbcc92caf59382ad1e,wildchat_full,unclear_or_no_delusional_theme,10,5,23,False,0,0.2983269691467285,292
